,IP,Throughput(MB/s),IP in 32 bit
512,143.204.175.116,0.42,10001111110011001010111101110100
513,143.204.192.100,0.355,10001111110011001100000001100100
514,143.204.192.43,0.91,10001111110011001100000000101011
515,143.239.20.1,2.71,10001111111011110001010000000001
516,143.54.2.20,0.07,10001111001101100000001000010100
517,143.95.1.207,10.8,10001111010111110000000111001111
518,143.95.231.63,1.48,10001111010111111110011100111111
519,143.95.236.83,0.85,10001111010111111110110001010011
520,143.95.237.77,16.5,10001111010111111110110101001101
521,143.95.237.92,11.090000000000002,10001111010111111110110101011100
522,143.95.238.20,0.275,10001111010111111110111000010100
523,143.95.238.53,0.12,10001111010111111110111000110101
524,143.95.252.46,0.96,10001111010111111111110000101110
525,143.95.78.176,43.7,10001111010111110100111010110000
526,143.95.87.74,0.37,10001111010111110101011101001010
527,144.168.41.18,0.45,10010000101010000010100100010010
528,144.208.76.61,0.83,10010000110100000100110000111101
